"","P001","P002","P003","P004","P005","P006","P007","P008","P009","P010","P011","P012","P013","P014","P015","P016","P017","P018","P019","P020","P021","P022","P023","P024","P025","P026","P027","P028","P029","P030","P031","P032","P033","P034","P035","P036","P037","P038","P039","P040","P041","P042","P043","P044","P045","P046","P047","P048","P049","P050","P051","P052","P053","P054","P055","P056","P057","P058","P059","P060","P061","P062","P063","P064","P065","P066","P067","P068","P069","P070","P071","P072","P073","P074","P075","P076","P077","P078","P079","P080","P081","P082","P083","P084","P085","P086","P087","P088","P089","P090","P091","P092","P093","P094","P095","P096","P097","P098","P099","P100"
"ERF",6.80929,7.22158,6.77031,7.17667,6.82173,7.1733,6.90024,8.08066,6.33696,7.07628,6.97669,7.63944,7.24564,8.95785,6.35847,7.24453,8.3398,6.70026,7.84103,7.30475,8.51826,7.23878,7.26002,7.01203,6.96464,7.53615,7.5812,6.82401,7.22912,8.04066,6.55064,8.02157,7.57083,6.95344,7.05549,8.04927,7.21431,7.69948,7.26479,7.18283,7.21909,7.23967,7.58131,7.19497,7.10829,7.1274,6.75666,7.36441,6.91372,7.30674,6.48056,7.6013,7.20598,7.15821,7.0298,7.5331,7.95886,7.61012,7.20762,6.22364,8.00076,7.76549,6.95344,7.998,7.32165,7.05513,6.84844,7.83011,7.77329,7.24483,8.06825,7.44868,6.94313,7.87826,8.10571,6.66832,6.91965,7.13607,7.09751,8.22615,7.41639,7.07747,7.17466,8.09963,7.47823,7.30169,6.41434,6.90389,8.49416,7.45027,8.19455,7.10406,7.3087,6.83844,7.47101,6.97776,7.76461,7.62233,7.28614,6.90524
"ARF3",9.11809,9.40088,9.61512,9.32273,9.49062,9.55635,8.99394,9.05432,10.37008,9.35896,9.13087,9.38913,8.93846,9.87214,9.14795,9.5283,9.70437,8.74436,9.23674,9.19542,8.71692,9.43534,9.46951,9.32899,9.37257,9.39199,10.20369,9.20428,9.5771,9.03225,9.54118,11.15103,9.53855,8.9403,9.97034,9.54947,10.10248,9.45084,9.28342,9.23766,9.96034,9.83533,9.28204,9.36917,9.261,9.70817,9.02654,10.13693,9.15145,9.40318,9.46604,9.48717,9.39825,9.25296,10.01267,9.31455,9.97685,9.47023,9.95879,9.62611,8.76277,9.36398,9.07465,9.22518,9.72258,8.89683,9.00634,9.55722,10.11568,9.31704,9.12488,9.71589,9.12914,9.48174,9.41999,9.15143,9.61756,9.50262,9.49122,9.02729,9.32682,9.34505,9.76549,9.35475,9.28099,9.7505,8.86789,9.08406,9.07474,8.94897,10.24259,9.02405,10.3152,8.99584,9.6275,9.68647,9.39846,10.11434,9.93816,9.66053
"KIAA1109",5.55854,5.7763,5.52557,6.17124,6.04585,5.7579,6.12544,5.70809,5.72823,5.67882,5.91096,5.82189,5.87746,6.10845,5.72399,5.5489,5.95523,5.83476,5.70455,5.55299,5.96407,5.72002,5.72573,5.64554,5.69617,5.63305,5.76946,5.52475,5.98498,5.53246,5.83712,5.92343,5.77649,5.76277,5.41567,6.33575,5.85753,5.42122,5.73052,5.93467,5.94739,5.72729,5.664,5.81346,5.82359,5.76048,5.69274,5.64423,5.54801,6.30911,5.99362,5.87425,5.49979,6.02157,5.80638,5.94217,5.72931,5.74152,5.47111,5.73078,5.80521,5.75874,5.92636,6.03653,5.77568,6.25444,5.88781,5.59092,5.91451,5.77942,5.82484,5.87112,5.85755,5.66033,5.85001,5.99345,6.03155,5.63604,6.12198,6.09762,5.75533,5.78771,6.07789,5.71166,5.72602,5.81396,6.20314,5.67913,5.66711,5.70757,6.10128,6.00492,5.84672,6.09774,5.63877,5.86132,5.80213,5.72353,6.25264,5.96592
"IRF2BP2",10.09888,10.07607,10.19357,9.91235,10.27787,9.89209,10.32939,10.21936,10.00016,10.39231,10.32842,10.30897,9.89139,9.9023,9.84931,10.13798,10.94745,9.45856,9.86203,9.62277,10.36497,10.15573,10.34299,10.01153,9.86263,10.30039,10.11759,11.2924,10.69593,10.39126,10.66302,10.26366,10.93052,10.27678,10.67781,10.29794,9.9032,10.04458,9.88086,10.15912,9.85053,10.35218,10.32827,10.09015,9.67603,10.34083,11.26854,10.60309,10.43426,10.0098,10.33129,10.69411,10.4081,9.93352,10.0999,10.30232,10.55832,9.99821,10.6194,10.06056,10.19611,10.72231,10.52974,9.69931,10.57642,10.94982,10.85808,10.71553,9.9524,11.03442,9.9002,10.30881,10.24694,9.37473,9.6525,9.78692,10.47505,10.29191,10.32167,9.16147,10.00166,10.05961,9.47449,10.27657,9.48562,10.35817,9.96933,10.27989,10.25419,10.65292,9.87306,9.82083,10.0295,10.34171,9.65487,10.65272,10.96796,10.21374,10.58155,9.90796
"TBC1D31",8.02565,6.60972,8.5921,6.99226,7.44965,6.59693,6.43907,7.64914,7.9142,7.02138,6.57384,7.87467,7.11274,7.82565,7.5893,7.01079,7.53178,6.38435,7.59081,7.78187,7.04179,7.87525,7.47234,6.75434,6.92123,6.9805,7.42037,7.70708,7.96089,7.81827,6.21975,7.3106,6.87649,7.47025,7.73642,8.01444,7.49721,6.87612,6.64652,7.31207,6.9712,7.36235,6.78992,6.5488,7.03959,6.96883,7.65856,8.17771,7.44617,6.27286,5.92863,7.01941,7.78749,5.85715,7.16015,6.26943,7.57097,8.14121,6.97334,5.67109,8.49348,7.88187,6.36116,6.29072,6.61212,7.57925,6.37082,7.0248,6.61384,5.8231,7.63019,4.98452,8.04035,7.95569,7.01453,7.07827,6.42062,7.57361,6.10435,6.94735,7.55933,7.1236,6.99968,8.00053,6.97984,7.12039,5.82379,9.16761,8.08391,6.57808,7.74309,7.14791,7.82612,6.30113,6.69265,5.98479,6.60362,7.08742,6.64462,8.78187
"WDR45",8.01513,8.06629,8.71709,7.38567,7.99484,8.1589,7.40063,7.27591,8.16903,8.16392,7.81114,8.24682,7.99511,7.829,7.55888,7.98408,8.17044,7.76424,8.149,7.8692,8.11294,7.82567,8.17169,8.13255,7.40712,7.70425,8.55482,7.86621,7.74826,8.1058,8.43862,8.14364,8.0649,8.20548,7.78506,7.78694,7.79173,7.87217,8.13841,7.53374,8.1616,7.98489,8.0706,8.20569,8.30879,8.58734,8.24556,8.49836,8.31809,7.58155,7.86877,8.36559,7.78951,8.50042,7.74526,8.16826,7.8798,8.53963,7.90463,8.05532,7.32263,7.29216,7.33684,7.99321,7.674,7.55265,6.81679,8.29646,8.16162,7.27589,7.8659,7.7258,7.56981,7.72329,8.14336,8.3519,7.96666,7.69168,8.10957,8.42798,7.91922,8.2855,9.0828,7.86634,8.41267,8.03245,7.47377,7.8683,7.58798,7.78422,8.05587,8.08721,8.59533,7.79195,8.38314,8.38176,8.20078,7.34891,8.14922,6.96362
"LINC01514",3.43619,3.49103,3.84759,3.56961,3.52237,3.5796,3.33932,3.56787,3.44745,3.55925,3.65827,3.39567,3.48025,3.80434,3.38015,3.41446,3.65948,3.3155,3.33522,3.40589,3.55484,3.57921,3.67328,3.49542,3.56143,3.37511,3.37992,3.61029,3.57001,3.54564,3.56899,3.51221,3.90683,3.6055,3.6871,3.78066,3.45888,3.62281,3.5516,3.22215,3.58773,3.46639,3.58475,3.38249,3.5446,3.51181,3.46124,3.14797,3.44855,3.74846,3.78414,3.63579,3.54867,3.57728,3.5383,3.70552,3.45172,4.07085,3.38941,3.73296,3.56756,3.47129,3.67645,3.62847,3.67203,3.6504,4.6168,3.5741,3.48399,3.46761,3.52571,3.91863,3.54455,3.64239,3.4834,3.61135,3.48759,3.48629,3.53352,3.83456,3.67652,3.64879,3.60457,3.40932,3.4274,3.40021,3.78887,3.71849,3.45221,3.60921,3.52669,3.6858,3.62124,3.61528,3.43791,3.59313,4.06031,3.93251,3.81796,3.34055
"SLC27A4",6.73023,7.23705,6.89623,8.10737,8.0301,7.51906,6.69821,7.51845,7.42624,7.36265,7.03514,8.27375,7.25653,8.66008,7.27524,8.12989,6.98994,7.13417,8.22395,8.0081,7.74044,7.90312,7.44284,8.29682,7.42775,7.45296,7.54436,7.58229,7.28709,8.32589,7.22844,7.9105,8.19792,7.8432,7.77035,7.79875,8.52621,7.24992,7.58631,7.41457,6.77898,7.83847,7.0911,7.50374,7.85899,7.13074,7.45808,7.75451,7.82868,7.94139,7.20302,7.66419,7.36751,7.79585,7.75309,7.34936,8.22892,8.83108,7.41333,6.97239,7.19351,6.94644,6.88758,7.73508,7.46888,7.22219,7.92965,7.06342,8.16731,7.79613,7.55527,7.66785,7.52111,7.63285,7.51518,7.46281,7.84134,7.24079,7.03942,7.25096,7.54809,7.03883,7.39177,7.12132,8.21172,7.18936,7.49518,8.24573,8.41287,6.84571,7.405,7.26955,7.9929,7.13937,7.47888,8.09904,8.25389,7.40835,6.75038,7.41364
"TEX19",4.61571,4.54026,4.71894,4.30076,4.3316,4.05751,4.24087,4.71287,4.88466,4.04229,4.45267,4.49312,4.3724,4.43459,5.02421,4.11706,4.35686,4.52832,4.27647,4.64621,4.42961,5.41215,4.34551,4.33135,4.18737,4.35174,4.34878,4.07735,4.2977,4.00572,4.44527,4.1624,4.80437,4.26764,4.79225,4.66143,4.09024,4.24725,4.29236,4.31145,4.56295,4.30042,4.17864,4.40064,4.56523,4.33178,4.01091,4.76017,4.71328,4.17222,4.36034,4.57125,4.84192,4.55702,4.08059,4.39583,4.44765,4.66641,4.11366,4.27176,4.25893,4.15813,4.16472,4.6186,4.51302,4.34725,4.91826,4.39097,4.53613,4.36673,4.41092,4.40899,4.57012,4.47767,4.07309,4.42055,4.05822,4.49377,4.53242,4.62628,4.42016,4.79839,4.4846,4.58563,4.19045,4.54273,4.56193,4.98541,4.70034,4.269,4.50561,4.02494,4.43847,4.53116,4.23357,4.20355,4.09491,4.94855,4.4636,4.77841
"EIF5",10.57727,9.76047,9.86211,10.62687,9.08464,9.73193,9.90472,9.52123,9.50479,9.32201,9.32977,10.13555,10.51169,10.23652,9.62321,9.96389,8.87388,9.79779,9.66488,9.52576,10.17477,9.74952,8.56963,10.05106,9.64922,9.48874,9.76631,10.05765,9.13734,10.01965,9.51079,9.46795,8.84845,10.58535,10.25409,9.99437,9.47762,9.66564,9.46406,9.4401,10.64483,9.44844,10.09187,9.49092,8.99473,9.18432,9.354,9.10522,9.135,9.88075,9.43737,9.21017,10.18088,9.31335,9.18661,9.52795,8.67871,9.90426,9.6531,9.45272,10.62,9.62221,9.85723,9.55613,8.56637,10.16653,9.59968,8.77741,9.38341,9.47691,9.58273,9.33302,9.54276,9.52806,9.52213,9.20397,9.47098,9.66077,8.99477,10.13647,9.16735,9.49702,9.135,10.09167,9.16564,9.05766,10.02427,9.24855,10.76244,9.50552,9.52414,9.12716,9.13855,8.66548,8.95188,9.26084,9.8653,10.31575,9.18412,9.91747
"LYSMD2",9.86095,9.82327,9.50642,8.85936,8.90206,9.66768,9.63715,9.55614,9.53127,9.42224,9.98587,10.25251,8.7347,9.26581,10.18581,9.87689,8.71534,9.98448,9.40824,8.84015,9.4775,9.2198,10.04964,9.51532,8.94845,9.22908,9.96646,9.88001,9.13173,9.55939,9.02317,9.87077,7.68963,9.17599,8.66252,7.92491,9.79934,9.34087,9.54798,8.93998,9.87547,9.11403,10.21137,9.82985,7.96105,8.78735,9.20366,9.75951,7.14235,9.77952,9.01233,8.33897,9.01919,9.42124,8.74939,9.4283,10.13505,8.84986,9.12858,9.39463,8.22658,9.51438,9.55104,8.74055,8.82243,10.01094,7.70111,8.8582,9.6055,8.74731,9.82432,9.55401,9.20958,8.40893,9.779,9.62919,9.53784,9.85533,8.74657,10.05102,10.10502,9.14193,10.72908,8.19714,9.00365,8.92593,9.39802,9.17929,9.74645,9.83981,9.10663,9.22825,9.19603,9.68508,9.63584,9.26064,8.5112,10.09356,9.20817,9.86977
"OLAH",3.7596,4.30774,3.69399,3.735,3.86777,3.72933,3.75541,3.65959,3.7613,3.86813,4.0657,3.99347,3.82412,3.82845,3.75049,3.82485,3.84806,3.7416,3.86075,3.80823,3.82623,3.88962,3.94481,4.57489,3.65693,3.81342,4.88405,3.85881,3.85797,3.75949,3.9223,4.026,3.85955,3.87275,3.87203,3.86378,3.91433,3.78108,5.16551,3.72425,3.83897,4.13997,3.76473,3.80266,3.74987,3.85585,3.62743,3.84165,3.88223,3.89968,3.87059,3.78613,3.78556,3.78086,3.82717,3.83686,4.14691,4.02686,3.9466,3.94909,3.72616,3.91394,3.76576,3.77786,3.65732,3.69106,3.86786,3.93321,3.76636,3.9002,3.8187,3.90131,3.72386,3.87547,3.8073,3.87994,3.75549,3.68981,3.86224,3.67362,3.82881,3.90613,3.966,3.93073,3.59422,4.00825,3.92054,3.90494,3.85513,3.76182,3.84447,3.85636,3.85457,3.9158,3.67695,3.66542,3.89885,3.95326,3.64338,3.87692
"CXCL6",5.48514,5.88884,4.81834,4.78149,6.65756,11.73424,10.1227,8.41819,4.62513,4.50665,5.01067,6.04669,6.45071,3.69973,3.59778,4.43262,8.7749,5.6819,8.76824,4.54406,6.5533,6.4931,3.67608,7.11727,5.62996,4.67098,5.91601,7.64028,7.07589,9.07887,3.79428,5.03747,3.97502,6.91263,3.58673,11.51551,7.56113,7.34877,8.07504,4.58596,7.66211,7.73859,7.14444,5.21878,4.43136,6.76029,8.44063,5.13391,8.52743,12.35857,4.38048,9.58943,8.35126,4.38669,5.84969,9.18389,3.66936,3.81151,8.52158,4.27465,4.55743,11.61018,4.1124,6.53612,7.75918,8.42381,4.65062,5.00244,4.98749,5.07072,4.83249,3.91304,8.81342,3.9544,11.16714,4.8509,3.96441,8.41642,5.65809,3.82259,8.85516,5.30284,4.16552,4.47754,8.11247,5.3214,7.1967,6.25245,8.31644,8.68717,4.20732,7.04663,4.18627,3.978,7.77042,5.44016,3.92015,4.0594,5.91311,4.63472
"CRTAP",8.04068,8.7963,7.36384,8.38942,7.37364,8.63079,8.47283,8.80077,7.01631,8.55476,8.97654,8.37262,7.664,7.81501,7.25507,8.59937,7.71266,8.08225,8.38508,8.67788,8.71556,8.3821,8.42495,8.74985,8.10542,8.83815,8.06908,7.54018,8.25308,7.96234,8.60829,7.3997,8.32269,8.55096,8.32945,7.31346,8.54873,8.62807,8.70786,7.94697,8.18697,7.87339,8.48824,8.23886,8.40983,8.20196,7.86347,7.23635,8.31764,7.93057,8.55478,7.82591,8.82928,8.52569,7.98494,9.09105,7.50503,8.18125,8.55549,8.10464,8.58367,8.40919,8.80068,7.50292,8.49991,8.66184,8.42711,8.32975,8.46142,8.79035,8.93352,8.74901,8.11561,8.42186,8.19178,8.6845,8.68975,8.57958,8.21476,8.2163,8.48233,8.20147,8.40219,7.67988,8.51209,8.62713,8.03457,7.9555,8.73942,8.79468,7.5739,8.3041,7.3975,8.71701,8.88799,8.74043,8.58813,8.53286,7.94994,7.77071
"EIF3J-AS1",7.123,6.11901,7.56565,6.84704,6.14765,6.13576,6.44617,6.10047,6.6063,6.08756,6.75935,6.00538,7.57997,6.8189,7.02198,6.84945,6.44931,7.93442,5.4659,6.2851,6.42713,6.06811,6.80466,7.22743,7.11815,7.38761,6.23059,7.27245,6.47033,7.15656,7.47621,6.78131,6.22354,6.83474,6.59658,6.13545,6.52785,6.63947,6.64119,6.87922,6.42592,6.53238,6.77953,6.42927,6.14428,6.63464,6.87845,6.87266,6.56551,6.27943,6.43619,6.78315,5.7098,6.73919,6.20921,7.91653,6.60483,5.9832,6.44867,7.18851,7.00251,6.00908,7.5211,7.5739,6.23684,6.45549,5.83365,6.33545,5.99513,6.62616,6.62628,7.0534,6.49526,6.2284,6.41177,6.56051,6.67291,7.56538,6.86082,7.82312,6.29331,6.61239,7.12423,6.91982,6.24202,6.96124,7.50413,6.55882,6.76664,7.01194,7.02205,6.60814,6.7776,7.27693,6.79336,7.66624,6.7121,6.63946,7.05555,6.85652
"MAFG",9.12687,8.37096,8.87278,8.22349,8.08405,7.28426,7.44938,9.31869,8.94884,8.19468,8.2543,8.03631,8.11399,8.22845,7.84857,7.90179,8.30695,8.08364,7.40146,7.90499,8.66149,8.93407,7.82389,8.84711,7.9465,8.6002,7.71462,7.65905,7.96835,7.95687,7.65993,7.75093,8.00211,9.06318,8.85099,7.90923,8.16342,8.84528,8.44561,8.36075,9.05913,7.49781,9.20476,6.95618,8.19206,8.64557,7.43027,7.70508,8.32987,7.42013,7.54795,8.2609,9.00545,8.07239,7.12349,7.61287,7.9534,8.31712,7.62617,7.74621,8.57714,7.30742,7.49621,8.39314,7.80183,8.1106,8.4852,8.21066,8.07002,7.23796,8.11497,7.77974,7.78669,7.94242,8.36735,7.82281,7.76327,9.28139,8.06684,8.69473,8.0305,8.15194,7.77743,9.5209,8.59558,8.4674,7.72952,9.3118,9.18322,8.30192,9.36262,8.00413,8.8048,8.04485,8.8867,8.86837,8.64368,7.76823,7.55641,8.91255
"POLD2",8.94671,8.42532,9.20453,9.78315,8.99472,9.11507,8.97428,9.60411,9.99428,9.16474,9.2015,10.13954,9.1858,11.09491,9.32563,10.60399,9.54679,9.10633,9.03699,9.54766,9.57448,8.70605,9.991,9.53887,8.86091,8.22934,9.69027,9.36267,9.49319,9.52705,9.48571,10.05332,8.93865,10.91096,10.2928,9.92353,9.35227,8.94891,8.79851,9.31495,8.87489,9.73303,9.65098,8.39685,9.54515,8.74805,10.11343,9.55979,10.29648,9.7807,9.04664,8.34734,9.59812,8.8702,9.29526,8.87662,10.44983,10.40948,9.39574,8.86951,8.77849,9.22122,9.24594,8.48415,9.37727,9.21348,10.0811,9.20725,9.71326,10.19909,9.80538,8.42054,9.28837,9.85525,8.57341,9.10317,8.97756,8.81881,8.73191,9.78714,9.11262,7.77689,10.07206,10.3676,9.9399,8.36815,7.58531,10.99941,10.01026,8.32985,9.37728,8.31297,9.15296,8.43109,9.14744,9.09361,10.13746,10.40035,9.1205,10.21744
"NEIL1",6.56367,6.51395,6.61839,6.63577,6.95387,6.58596,6.48088,6.16594,6.22626,6.41936,7.00479,6.57751,6.69611,6.44321,5.98932,6.53798,6.06522,6.89196,6.82561,6.35255,6.31963,6.80412,7.0032,6.44886,6.62864,6.37996,6.77644,5.99174,6.58071,6.1887,6.88164,6.54888,7.24574,6.41195,6.47308,6.24238,6.73971,6.63394,6.86731,6.65644,6.64417,7.12491,6.47082,6.96932,6.59551,6.76742,6.37821,6.68178,6.40256,6.47123,7.23013,6.59097,6.22384,7.10135,6.23874,6.82215,6.18562,6.87366,6.49407,6.85422,6.64248,6.29805,6.8412,6.84471,6.67448,6.12071,7.15284,6.55048,6.68722,7.13298,6.16151,7.36752,6.00089,6.45172,6.5202,6.42143,6.46067,6.40389,6.60548,6.18452,6.23999,6.56931,6.84499,6.56272,6.3858,6.41181,7.12071,6.43204,6.17504,6.72546,6.71356,6.57926,6.91586,6.70429,6.64056,6.99259,6.55101,6.52843,6.66172,6.17525
"RHOU",6.7862,9.03164,7.71071,6.39405,9.58397,7.53979,9.31762,7.2496,7.03316,9.47033,8.11172,8.38838,10.52026,6.96997,10.12662,6.1013,6.56293,8.79228,5.63848,6.26463,7.17423,9.04714,10.43097,6.37607,10.14406,7.39032,7.31686,6.4868,8.9587,6.72836,9.2775,7.9714,9.31452,6.24834,6.06445,5.33034,10.26463,7.03545,7.58903,7.20976,9.8409,9.05241,8.38428,9.37899,10.049,9.08263,10.69998,9.23725,7.41833,7.32502,7.68549,9.72264,6.94171,8.80552,10.02755,6.24392,9.2935,6.83705,8.94174,8.72547,6.74214,7.19636,8.50699,8.29903,7.79151,7.04255,6.23334,9.57811,8.3647,9.4972,7.52889,7.67404,9.17872,6.78881,7.65421,7.54945,9.82992,7.92606,9.72123,7.3612,6.99705,9.52127,7.50587,6.91778,7.24154,9.1675,9.13715,8.43353,6.65862,7.81405,7.40516,9.44076,8.32611,9.25027,8.10246,9.58731,5.62426,7.09887,8.62382,6.81102
"PTGFRN",9.18657,8.58135,8.40036,9.39037,9.09776,9.87557,8.30318,9.67407,7.31585,8.49287,7.71631,9.69021,8.78188,10.2821,8.19527,10.81274,8.5482,9.17733,9.41035,9.08304,9.98005,8.3798,8.80681,9.28462,8.95067,10.11745,9.51897,7.95303,9.22172,9.79666,9.01438,9.97049,8.51599,9.41485,8.84961,9.67446,8.9429,9.03066,8.46135,9.63991,9.13975,8.97439,10.44902,8.08143,8.01921,8.94454,9.52059,8.89495,9.69642,9.73534,9.13158,8.88311,9.59548,8.35875,8.56715,9.05204,8.50346,8.94377,9.06066,7.85673,10.1343,9.675,7.59288,8.37668,9.04742,9.78179,8.38052,8.14985,7.74996,8.56345,10.27541,8.41866,8.1218,10.14625,10.34757,7.76942,8.50895,8.57838,7.78177,9.67508,9.15561,8.9013,6.94173,8.60838,6.92397,8.81192,8.19217,7.83786,10.12819,9.17148,7.35871,9.02892,9.14676,8.68162,9.13509,8.92872,9.94247,9.23636,8.07076,8.67217
"CASK",7.50209,7.5437,8.16105,8.16672,7.33869,7.57699,7.51142,7.59662,7.368,7.58444,7.08707,8.15359,7.74631,8.34894,6.51985,7.99135,8.61018,7.36349,7.13864,7.69827,7.80068,6.97039,7.65746,8.48235,7.0701,8.22719,6.90862,7.52405,7.76446,7.72231,7.61549,7.28929,7.16447,7.90594,8.04248,8.56123,6.75353,8.02721,7.34148,8.43793,7.4529,7.29716,7.78327,7.55336,6.7498,7.81084,8.34638,7.42751,8.42637,8.04975,7.2505,7.15121,8.40036,7.42896,7.93627,7.23796,7.29449,8.14241,7.28488,7.79844,8.00556,8.40081,6.54787,8.19416,7.40215,8.27259,7.45177,7.30178,7.60843,6.7156,8.08375,5.42869,8.04416,7.44392,7.79122,6.82814,6.62849,7.51157,7.13814,7.29962,7.51406,7.32188,6.76476,8.31083,7.18306,7.04104,8.29844,6.73717,7.09864,7.36889,7.25935,7.41425,7.1798,6.85077,8.0154,7.20782,7.95648,7.9327,7.62746,7.24481
"AKAP12",6.15913,6.56767,7.79946,6.55944,6.09884,6.83833,6.20987,6.93048,5.42685,6.11065,5.92934,5.86095,8.71147,6.53668,5.35832,5.90436,5.59003,5.80677,5.81194,7.37854,6.0507,6.51199,5.63425,6.15426,5.98226,7.0037,7.09531,6.04656,6.17133,5.81268,5.66897,6.42646,6.27868,5.32321,6.43153,5.35452,6.90398,6.60573,6.69017,7.57171,6.14721,6.20769,5.97351,6.53211,5.43854,7.17623,7.76619,6.46406,5.65017,5.39896,6.04526,6.65238,5.53019,5.78349,6.34895,6.785,5.81875,10.5316,7.11324,6.19836,5.45451,6.95083,6.29956,6.16223,7.39844,6.70293,5.50915,5.83035,5.48079,5.52002,6.03927,5.47289,6.29572,6.57309,7.1923,5.88847,6.46841,6.59067,5.90916,8.68726,7.84644,6.71176,5.56808,5.28591,7.11431,6.92921,5.62675,5.32465,6.15506,7.0763,6.0251,6.96025,5.50162,6.96792,6.07543,6.18588,6.34492,6.27014,8.2782,5.85334
"APOBEC1",4.94452,6.34011,7.12102,4.83159,5.21603,4.90656,6.74511,4.77327,8.4452,4.95602,5.02629,5.08084,4.908,4.92136,4.65085,4.93457,4.58706,6.18686,5.0884,5.0833,5.01162,5.1208,7.05516,4.91346,4.63036,4.87609,4.65748,8.12507,4.86661,4.86957,4.70561,9.34777,6.41963,5.32868,5.40413,4.74289,5.01842,4.77791,4.6234,4.86847,4.7476,4.68446,4.9804,4.91265,4.95187,4.80757,5.05241,5.58623,4.90262,4.89834,4.74574,4.64857,4.96059,4.87107,5.13517,4.68658,5.11855,5.1503,6.4053,6.23128,5.19678,4.83234,5.02234,7.70058,5.31355,4.81995,5.62985,4.86832,5.00159,5.03881,5.25087,5.0864,5.25344,4.99742,4.78712,4.57083,4.91363,5.70719,4.74459,4.98961,4.80659,5.0436,4.95843,4.88851,5.0578,8.45265,9.8249,4.9752,4.70321,4.64724,6.52699,4.82461,5.37573,4.86914,5.49415,4.62827,5.19033,4.89775,4.85845,4.82591
"MMRN1",6.32463,3.77305,4.30111,3.62026,3.39208,4.33832,4.66113,5.45516,3.67101,5.06536,4.18999,3.7352,4.57999,3.3608,4.2033,3.71629,3.98634,4.48876,3.91153,3.28133,4.47783,3.83662,3.60343,3.99647,4.57332,3.49553,3.92167,3.40605,3.39349,4.21452,3.40196,3.39365,3.66971,3.7512,4.15338,3.63346,3.5391,3.8134,5.45391,4.93404,3.77173,3.04824,4.88872,5.83121,3.37977,3.72184,3.35102,3.23065,4.32446,3.54768,4.00725,4.13828,4.40022,3.83998,4.49353,3.74209,3.63423,3.50651,3.81521,4.44203,3.91762,4.10575,4.26172,3.41763,3.91432,3.35782,4.39693,4.18769,4.96876,4.89834,3.62912,4.23131,4.58235,5.01188,6.08202,4.37748,5.30222,4.51163,4.4165,3.92077,4.80803,5.23285,3.91572,4.40766,4.3166,6.5073,4.41492,3.38811,4.88059,6.40379,3.90455,4.60564,3.68438,5.81932,4.87426,5.42863,3.86137,4.31629,5.67259,3.94234
"LENEP",4.41034,4.50278,4.36477,4.90551,4.70069,4.65089,4.7306,4.57251,4.49726,4.33456,4.53995,5.0861,4.35055,5.31095,4.55698,4.55052,4.76342,4.38052,4.6583,4.82359,4.94371,4.57115,4.8182,4.60464,4.54511,4.27203,4.50278,4.54497,4.93411,4.42061,4.90596,4.88641,5.37527,5.0903,4.49452,5.07547,4.86368,4.48601,4.53091,4.75796,4.64436,4.83627,4.56617,4.87622,4.75782,4.73459,4.37228,4.39874,4.41549,5.23134,4.81206,4.77513,4.70204,4.95146,5.05049,4.64979,5.1936,5.2517,4.52431,4.85998,4.76855,4.6694,4.47899,5.20674,5.03796,4.71198,5.49255,4.98002,5.32259,5.39608,5.47715,4.83876,4.80256,4.66657,4.42286,4.60008,4.53741,4.54205,4.56011,4.8977,4.51913,4.47795,5.33818,4.45828,4.9026,4.54109,5.03024,4.92839,4.74018,4.69482,4.71049,4.48914,5.04608,4.48744,4.39939,4.53825,4.92396,4.95868,4.8039,4.66753
"IFT46",8.32422,8.1165,8.33622,7.76679,8.17171,8.35234,8.0318,7.93602,8.89301,7.80578,8.12512,7.77966,8.6599,8.78692,8.98191,8.13963,7.99143,8.49378,8.33963,8.37132,8.40581,7.94928,8.22734,8.38034,7.93948,7.93285,8.54283,8.57965,8.57946,8.19348,8.40803,8.00868,8.28741,7.71356,8.51407,8.11029,8.62871,8.14207,8.38488,8.24107,8.24363,9.0295,8.05739,8.33507,8.30943,8.26034,8.39212,8.5297,8.92451,7.43766,7.97777,8.36077,8.15469,8.82003,8.87941,8.60768,9.53827,7.53422,8.38604,8.57106,8.16845,8.36876,7.94705,8.0997,8.01277,8.26816,8.2206,8.16853,8.03425,8.46561,8.34084,8.65534,8.50312,8.32607,8.19005,7.89058,7.61712,8.62055,8.24148,7.94216,7.83215,8.23038,8.6475,8.37791,8.39581,7.61806,8.50626,8.16424,7.87712,8.17446,8.53363,8.36214,8.0121,8.08524,8.23011,8.51545,8.55005,8.59771,8.21667,10.08244
"LRP6",6.49381,6.56283,8.17374,6.83342,7.7334,6.79783,7.35727,7.36944,7.56288,7.01227,7.65922,6.60743,6.55907,8.73679,7.81005,7.33033,9.27094,7.23185,6.54692,7.09274,6.56412,7.38961,6.95248,7.04193,7.39792,7.38197,6.55208,8.13269,7.57487,5.85897,7.73451,8.23771,7.53962,8.07724,7.55683,8.10649,7.00321,7.83348,7.55786,7.55135,6.16866,7.30361,6.8186,6.78228,7.5643,6.97229,7.44206,7.84221,7.41868,7.21359,7.60446,7.29834,7.1261,7.44196,7.87587,7.46967,7.71469,7.25149,7.20329,7.2089,7.77547,7.33406,7.68812,7.64896,7.06918,6.46418,6.78451,7.11001,6.32176,7.63906,7.1727,7.71852,7.31484,7.37695,7.37297,7.61884,7.69619,6.70166,7.21634,6.33368,6.42148,7.37787,6.26301,7.86018,6.98013,8.1094,7.19176,8.45409,6.84397,7.01224,7.44886,6.91814,8.15444,7.37769,7.0675,7.38379,6.77257,7.48904,7.54876,6.71092
